,x,Q2
,mid,mid
1,0.015,1.26
2,0.015,2.0
3,0.015,3.16
4,0.015,5.01
5,0.045,1.26
6,0.045,2.0
7,0.045,3.16
8,0.045,5.01
9,0.045,7.94
10,0.045,12.59
11,0.08,2.0
12,0.08,3.16
13,0.08,5.01
14,0.08,7.94
15,0.08,12.59
16,0.08,19.95
17,0.125,3.16
18,0.125,5.01
19,0.125,7.94
20,0.125,12.59
21,0.125,19.95
22,0.125,31.62
23,0.175,5.01
24,0.175,7.94
25,0.175,12.59
26,0.175,19.95
27,0.175,31.62
28,0.175,50.12
29,0.225,5.01
30,0.225,7.94
31,0.225,12.59
32,0.225,19.95
33,0.225,31.62
34,0.225,50.12
35,0.275,7.94
36,0.275,12.59
37,0.275,19.95
38,0.275,31.62
39,0.275,50.12
40,0.275,79.43
41,0.35,7.94
42,0.35,12.59
43,0.35,19.95
44,0.35,31.62
45,0.35,50.12
46,0.35,79.43
47,0.45,12.59
48,0.45,19.95
49,0.45,31.62
50,0.45,50.12
51,0.45,79.43
52,0.45,125.89
53,0.55,12.59
54,0.55,19.95
55,0.55,31.62
56,0.55,50.12
57,0.55,79.43
58,0.55,125.89
59,0.65,12.59
60,0.65,19.95
61,0.65,31.62
62,0.65,50.12
63,0.65,79.43
64,0.65,125.89
65,0.015,1.26
66,0.015,2.0
67,0.015,3.16
68,0.015,5.01
69,0.045,1.26
70,0.045,2.0
71,0.045,3.16
72,0.045,5.01
73,0.045,7.94
74,0.045,12.59
75,0.08,2.0
76,0.08,3.16
77,0.08,5.01
78,0.08,7.94
79,0.08,12.59
80,0.08,19.95
81,0.125,3.16
82,0.125,5.01
83,0.125,7.94
84,0.125,12.59
85,0.125,19.95
86,0.125,31.62
87,0.175,5.01
88,0.175,7.94
89,0.175,12.59
90,0.175,19.95
91,0.175,31.62
92,0.175,50.12
93,0.225,5.01
94,0.225,7.94
95,0.225,12.59
96,0.225,19.95
97,0.225,31.62
98,0.225,50.12
99,0.275,7.94
100,0.275,12.59
101,0.275,19.95
102,0.275,31.62
103,0.275,50.12
104,0.275,79.43
105,0.35,7.94
106,0.35,12.59
107,0.35,19.95
108,0.35,31.62
109,0.35,50.12
110,0.35,79.43
111,0.45,12.59
112,0.45,19.95
113,0.45,31.62
114,0.45,50.12
115,0.45,79.43
116,0.45,125.89
117,0.55,12.59
118,0.55,19.95
119,0.55,31.62
120,0.55,50.12
121,0.55,79.43
122,0.55,125.89
123,0.65,12.59
124,0.65,19.95
125,0.65,31.62
126,0.65,50.12
127,0.65,79.43
128,0.65,125.89
